gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	old_locus_tag
SPY_RS00005	368.861246866208	-0.169461754089417	0.205863385171613	0.176650360417307	0.549401962595211	dnaA	SPy_0002
SPY_RS00010	452.246723475387	-0.133514908730517	0.193008470850911	0.2618140963411	0.618550391058469	dnaN	SPy_0003
SPY_RS00015	187.154054253646	0.0197859791985148	0.182655907093085	0.850010300520186	0.959274087423021	yyzM	SPy_0004
SPY_RS00020	3061.50389976067	-0.0784506380513018	0.161984099733909	0.483852872741322	0.80221696314776	ychF	SPy_0006
SPY_RS00025	75.4968279360466	-0.264897683730626	0.351649642886421	0.0534989183121233	0.299816268878862	pth	SPy_0007
SPY_RS00030	406.914813690101	-0.396543383819491	0.277529158543662	0.0197812860631768	0.17376930851078	mfd	SPy_0008
SPY_RS00035	120.044696460303	0.00657957811908329	0.185676831716726	0.937420419267179	0.981428193676069	yabO	SPy_0009
SPY_RS00040	108.074554004142	-0.0519189833098887	0.193746540834095	0.608114910520159	0.859893822868994	divIC	SPy_0010
SPY_RS00045	361.557882414083	0.0337115722127926	0.169698284187464	0.760932576881093	0.923714108414702	SPy_0012	SPy_0012
SPY_RS00050	534.510954852899	-0.158204781505843	0.192433544857607	0.203363213549597	0.563547114066977	tilS	SPy_0013
SPY_RS00055	1094.62813627679	-0.297905561662208	0.257642923650262	0.0495023797742032	0.289370528827144	hpt	-
SPY_RS00060	28273.7354635832	0.267156546897028	0.222528603520802	0.0691469599666835	0.337447087889938	ftsH	SPy_0015
SPY_RS00065	2433.58400781416	-0.0570959234955479	0.170239150796046	0.60614237868772	0.858971820065486	yfnA	SPy_0016
SPY_RS00210	32840.397180482	-0.125394053233235	0.171375381554034	0.31664087334506	0.682193751515781	p40	SPy_0019
SPY_RS00215	28571.275135834	0.0113901787517285	0.155458699087271	0.877029780621423	0.962499149027355	prs	SPy_0020
SPY_RS00220	88.1410215265727	-0.0493330291034221	0.195836850456786	0.613495338963075	0.859893822868994	recO	SPy_0021
SPY_RS00225	1334.33312961652	-0.0681200407413432	0.164146126345365	0.502630213328454	0.813621950814958	plsX	SPy_0022
SPY_RS00230	347.627633369658	0.026032724465432	0.170368891435744	0.815372573577538	0.949079349918217	acpP_1	SPy_0023
SPY_RS00235	2498.53259255243	-0.536760728485465	0.281148864919616	0.00455870645506655	0.0653003897617642	purC	SPy_0024
SPY_RS00240	6951.41935365318	-0.683702443310811	0.319505452007103	0.00167556748533849	0.0324896622157098	purL	SPy_0025
SPY_RS00245	1284.39034607455	-0.0882682120555855	0.240900568616369	0.0737752940616584	0.351205741191727	purF	SPy_0026
SPY_RS00250	1109.6998157587	-0.102235224259651	0.250033683685463	0.0435069590024743	0.263168704166146	purM	SPy_0027
SPY_RS00255	468.473032646159	-1.03297487389734	0.614457360791442	0.00112888174672292	0.0252642846662279	purN	SPy_0028
SPY_RS00260	1599.47332501526	-0.951164335003917	0.534462137435939	0.00115993256643688	0.0252642846662279	purH	-
SPY_RS00265	9.60956644776985	-0.0034265012913495	0.216400701329501	0.936651111924871	0.981428193676069	SPy_0031	SPy_0031
SPY_RS00270	2388.29308536444	-0.129396122642018	0.176280873391939	0.272127161548893	0.633502469784392	purD	SPy_0032
SPY_RS00275	772.040765691515	-0.26156788576548	0.229627084640125	0.063598935697206	0.324865398326891	purE	SPy_0033
SPY_RS00280	1653.45596716065	-0.341370854615943	0.266457243153346	0.0301034137658797	0.216581121664021	purK	SPy_0034
SPY_RS00285	529.096957997394	-0.697963780152168	0.289885712133914	0.00102069543573079	0.0242224737733129	SPy_0035	SPy_0035
SPY_RS00290	2649.33209646541	-0.274745684042769	0.225947670751651	0.0530345935336506	0.299816268878862	purB	SPy_0036
SPY_RS00295	58.831169475187	0.0784231479766344	0.213625125892692	0.400817400417142	0.74613865400172	rgg4	SPy_0037
SPY_RS00300	8871.52477647553	0.13666818074986	0.1709578429329	0.252456795137533	0.607271262131132	ruvB	SPy_0038
SPY_RS00305	919.774976195848	-0.0947885394277111	0.173631156420482	0.401225502623566	0.74613865400172	ptpA	SPy_0039
SPY_RS00310	556.886503489995	-0.168923754593447	0.221105786236272	0.17045392648537	0.54362665581377	SPy_0040	SPy_0040
SPY_RS00315	4797.43743847451	-0.0935138066474141	0.165596941841325	0.443612130656768	0.775102514004683	SPy_0041	SPy_0041
SPY_RS00320	6553.35048518977	0.94045009803956	0.503014921799617	0.00112985286436823	0.0252642846662279	adhE	-
SPY_RS00325	2587.02988455128	0.0958566540538852	0.248241959373862	0.0247459613140295	0.198717568127813	adhP	SPy_0044
SPY_RS00330	319.678464029191	0.0393914810961225	0.1761725593397	0.721170966348857	0.907378353085952	norN	SPy_0045
SPY_RS00335	20680.7822389516	0.167467361641795	0.174937672025135	0.174388293553495	0.54474928634589	rpsJ	SPy_0047
SPY_RS00340	16879.2197730787	0.0309338166921295	0.157606125012792	0.783610928263721	0.933337657103951	rplC	SPy_0049
SPY_RS00345	13921.7774180085	0.00211886097104762	0.163321261544293	0.987007485336786	0.997674444809593	rplD	SPy_0050
SPY_RS00350	4931.92902766264	-0.0247998112554622	0.166769755886331	0.814587393720549	0.948860041037124	rplW	SPy_0051
SPY_RS00355	10007.3252182629	-0.00866937166027604	0.175039414039075	0.930387913070617	0.981428193676069	rplB	SPy_0052
SPY_RS00360	2254.32043809649	-0.0329409085500606	0.179176736038097	0.750645444639902	0.918264027886366	rpsS	SPy_0053
SPY_RS00365	2224.14652034107	-0.0308898818681275	0.186111234218192	0.749059613547989	0.918264027886366	rplV	SPy_0055
SPY_RS00370	6164.74969843473	-0.113785069868806	0.184888743248632	0.32656046423601	0.686260663701434	rpsC	SPy_0056
SPY_RS00375	5002.15006999355	-0.188958579947012	0.216058885355667	0.134541137155909	0.480148788287995	rplP	SPy_0057
SPY_RS00380	1841.70692083607	-0.155862832932139	0.19962170072273	0.19643451450931	0.563547114066977	rpmC	SPy_0059
SPY_RS00385	3353.57926366417	-0.151928389129452	0.190364065630883	0.212805487146254	0.572751494354491	rpsQ	SPy_0060
SPY_RS00390	4613.69583236247	-0.0595929418266618	0.17342139586204	0.580021662552366	0.848122412432466	rplN	SPy_0061
SPY_RS00395	2557.23787613447	-0.196656694406567	0.256410644032717	0.107750216026032	0.436057791266597	rplX	SPy_0062
SPY_RS00400	5995.28311421541	-0.113999564423968	0.205455561971532	0.300215515565796	0.667612125523939	rplE	SPy_0063
SPY_RS00405	2795.70401986611	-0.10865034150332	0.191508319130803	0.338485342657066	0.692448289613782	rpsN	SPy_0064
SPY_RS00410	8098.75148920905	-0.107192846629232	0.189569570067684	0.338056692714542	0.692448289613782	rpsH	SPy_0065
SPY_RS00415	10737.7031381019	-0.105152956213555	0.195294832729531	0.343775493605789	0.697218719547852	rplF	SPy_0066
SPY_RS00420	11444.9127202474	-0.0340648892825321	0.174533027524724	0.747595130609433	0.918264027886366	rplR	SPy_0067
SPY_RS00425	17157.8093175657	0.0328649801002367	0.170316273308786	0.766412204511244	0.926584047777428	rpsE	SPy_0069
SPY_RS00430	4944.49251901249	0.044821307758133	0.165993589524648	0.697340387229013	0.895614875358748	rpmD	SPy_0071
SPY_RS00435	12754.940888445	-0.014471884548567	0.176366280308004	0.88649731512204	0.968749643329239	rplO	SPy_0072
SPY_RS00440	39297.795109803	0.0402844474145175	0.172892103462222	0.71470637310711	0.903325225151276	secY	SPy_0073
