gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	old_locus_tag
SPY_RS00005	353.377134020123	0.0196047057294849	0.170977220185653	0.89079103685362	0.955466733391645	dnaA	SPy_0002
SPY_RS00010	448.427607968408	0.0926067253567831	0.1745789290145	0.518009359393184	0.711022425297349	dnaN	SPy_0003
SPY_RS00015	94.1009544216509	0.56442955983347	0.343555160973475	0.0127448705284448	0.0536792685627212	yyzM	SPy_0004
SPY_RS00020	1325.33904515088	0.264640711823118	0.158886829727695	0.0529913180677595	0.155289486280367	ychF	SPy_0006
SPY_RS00025	58.545198121305	0.476584939221199	0.381413601935573	0.0311810400983972	0.104161990956062	pth	SPy_0007
SPY_RS00030	344.566597530688	0.290225241849662	0.203147426048081	0.0693516125929727	0.18893699780557	mfd	SPy_0008
SPY_RS00035	84.6535674306438	0.0696792033801869	0.220866248808023	0.651496107047953	0.810411390103921	yabO	SPy_0009
SPY_RS00040	72.5871565037477	0.960290167609149	0.354829560201468	0.000515313082988674	0.0040797991597943	divIC	SPy_0010
SPY_RS00045	275.854792273952	0.394173525103976	0.214258112501104	0.0201886068964154	0.0759324768571213	SPy_0012	SPy_0012
SPY_RS00050	391.821949744343	0.00874322626048515	0.169734391678037	0.953525561964868	0.98090605189925	tilS	SPy_0013
SPY_RS00055	635.117197198637	0.172114099794052	0.177951056634366	0.236950880257183	0.431243367172695	hpt	-
SPY_RS00060	14077.0949139931	0.808524763117312	0.188940848617625	1.91456112850795e-06	3.42945762143987e-05	ftsH	SPy_0015
SPY_RS00065	564.41324115578	0.504255384617642	0.20268816617494	0.00278439654989436	0.0161540091335976	yfnA	SPy_0016
SPY_RS00210	11247.0478849583	-0.0943165697807746	0.138172975857999	0.442206640622354	0.645955266067108	p40	SPy_0019
SPY_RS00215	11541.5043644617	0.625227052086398	0.155460533616906	1.18534398757756e-05	0.000175471830007973	prs	SPy_0020
SPY_RS00220	138.042691421124	0.0621981504229973	0.211298362222083	0.682920713125608	0.834292738200338	recO	SPy_0021
SPY_RS00225	1230.74301094049	0.219288400097025	0.161552552960375	0.111476867967469	0.260173211396389	plsX	SPy_0022
SPY_RS00230	239.747574326391	0.0930522809369611	0.182471593815757	0.52524891614058	0.717523066567637	acpP_1	SPy_0023
SPY_RS00235	65.0605109530941	0.17248834926697	0.258083620921981	0.291333767895422	0.487274437426306	purC	SPy_0024
SPY_RS00240	445.325426361149	0.260857838016175	0.218841353103787	0.110233534146837	0.258112180445127	purL	SPy_0025
SPY_RS00245	136.499227592409	0.316616272636879	0.253021957693774	0.076645225396712	0.202159036880434	purF	SPy_0026
SPY_RS00250	239.403321044539	-0.0752745467342877	0.206504188953511	0.61387374551801	0.783331324423249	purM	SPy_0027
SPY_RS00255	54.44808355762	0.132885661419727	0.26645675228571	0.380959041970624	0.588754309391758	purN	SPy_0028
SPY_RS00260	125.68521162482	0.1479843833421	0.225924696086237	0.350006558844638	0.552378192537848	purH	-
SPY_RS00270	177.926489847632	0.0369375318517659	0.217261988192731	0.806331437350992	0.913156554084527	purD	SPy_0032
SPY_RS00275	149.979498876311	-0.195730251309449	0.242458007200017	0.230313006349349	0.424359720697905	purE	SPy_0033
SPY_RS00280	408.414066553488	-0.2105561874236	0.231473961819617	0.193084172819753	0.380314703826646	purK	SPy_0034
SPY_RS00285	314.047573357097	0.0197208532534713	0.189654336465599	0.893853392628254	0.95575382605134	SPy_0035	SPy_0035
SPY_RS00290	1085.8557938724	-0.0814661721353204	0.173165145705494	0.563153032784584	0.743777231318257	purB	SPy_0036
SPY_RS00295	52.4589726470207	0.53515069349096	0.412057373955751	0.0232028464052202	0.0841764022751405	rgg4	SPy_0037
SPY_RS00300	3656.36780858842	0.0938182732582818	0.162072524833408	0.493913597509407	0.691865283705748	ruvB	SPy_0038
SPY_RS00305	715.555758653646	-0.0996693646467821	0.157313107751269	0.450091735757424	0.652155164145995	ptpA	SPy_0039
SPY_RS00310	605.802995026933	0.00151167974432162	0.161082975616701	0.991127828282898	0.993207117433142	SPy_0040	SPy_0040
SPY_RS00315	2675.88065309738	0.078342354626458	0.145280241337101	0.539958674801516	0.728588306017488	SPy_0041	SPy_0041
SPY_RS00320	9632.61319080797	-0.540086191905277	0.170198722412283	0.000300891322493101	0.00256653134007508	adhE	-
SPY_RS00325	19656.0227946473	0.195189189338627	0.150797194265857	0.136624250230199	0.303538838108333	adhP	SPy_0044
SPY_RS00330	105.333272662456	-0.157298212604862	0.234798575855127	0.325149908247625	0.523339321103252	norN	SPy_0045
SPY_RS00335	6370.97025011892	0.630656466033849	0.172471364779751	4.11825808411563e-05	0.000478871115235103	rpsJ	SPy_0047
SPY_RS00340	6386.19662735773	0.702510961826218	0.177702624521281	1.0435784781154e-05	0.00015741557464625	rplC	SPy_0049
SPY_RS00345	6015.70244723607	0.580336818868456	0.181928644732429	0.000248795886578377	0.00220076855226428	rplD	SPy_0050
SPY_RS00350	2309.25412317452	0.491302570840187	0.19484982812197	0.00257726808292056	0.0151361687001031	rplW	SPy_0051
SPY_RS00355	4844.45357306641	0.608732249705547	0.191252455941285	0.000227185514105509	0.00204752730637229	rplB	SPy_0052
SPY_RS00360	1084.37879616239	0.514398947800104	0.210894905666489	0.00287244027033283	0.0165309514352889	rpsS	SPy_0053
SPY_RS00365	1146.5243427847	0.68031609451207	0.213515903107793	0.000177623649890056	0.00168566020061226	rplV	SPy_0055
SPY_RS00370	3915.53980554282	0.454275512179391	0.178243656576967	0.00305293773955726	0.017360554685657	rpsC	SPy_0056
SPY_RS00375	3163.95096769022	0.211394196580059	0.182441002256533	0.151182941416574	0.322479058891774	rplP	SPy_0057
SPY_RS00380	1191.85562878304	0.121772414497023	0.182896156667987	0.404675566033339	0.609293763504559	rpmC	SPy_0059
SPY_RS00385	2284.85247716341	0.0460389233423083	0.176759955560766	0.747389503751295	0.87859652081674	rpsQ	SPy_0060
SPY_RS00390	2236.63152265088	0.241958409642942	0.184261528485098	0.104805328111591	0.247831741227574	rplN	SPy_0061
SPY_RS00395	1466.94602131621	0.287585806972446	0.188503236913372	0.0588773423976281	0.169080624560723	rplX	SPy_0062
SPY_RS00400	3213.04683077309	0.243206113768216	0.174237706133501	0.0938170537345234	0.230847214057098	rplE	SPy_0063
SPY_RS00405	1546.17956059033	0.224021829238153	0.192678141008317	0.140954443226659	0.309797112183747	rpsN	SPy_0064
SPY_RS00410	3747.27388235301	0.152229998687828	0.169740083196377	0.270917492162458	0.467740682251569	rpsH	SPy_0065
SPY_RS00415	4404.76788382213	0.162959951382398	0.178477417831136	0.259761377670034	0.457857385241277	rplF	SPy_0066
SPY_RS00420	4518.80971067738	0.0919049116192135	0.16360763293799	0.504066866291083	0.699747747690896	rplR	SPy_0067
SPY_RS00425	6815.95432383487	0.394401044213565	0.172164221148157	0.00726812011076522	0.0351865409416438	rpsE	SPy_0069
SPY_RS00430	1811.8102698625	0.309451669308573	0.174258178012553	0.0334446845074187	0.108923256588934	rpmD	SPy_0071
SPY_RS00435	4141.87109167692	0.0850735524349304	0.163433580983576	0.533014219118064	0.722620034055047	rplO	SPy_0072
SPY_RS00440	10540.2063897795	0.0176274576590411	0.150767740749954	0.893910803433071	0.95575382605134	secY	SPy_0073
