gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	old_locus_tag
SPY_RS00005	365.464737811641	-0.162259135405284	0.177079439296827	0.284892069842761	0.461592193476351	dnaA	SPy_0002
SPY_RS00010	466.236423171634	-0.0991419304779607	0.173981534127024	0.507483234600711	0.66685492593339	dnaN	SPy_0003
SPY_RS00015	97.1716491382022	0.294959799980136	0.270507868094823	0.127060302617321	0.261450186996247	yyzM	SPy_0004
SPY_RS00020	1249.8411060852	0.291150723834045	0.154596507253952	0.0351475715485596	0.0964429904429335	ychF	SPy_0006
SPY_RS00025	57.5145681568195	0.418514874885644	0.333437553533681	0.0570630763369652	0.1425228961739	pth	SPy_0007
SPY_RS00030	322.116475881647	0.359420738873949	0.204584069858866	0.034584243594736	0.0953080898323387	mfd	SPy_0008
SPY_RS00035	75.9584941323815	0.183148294726233	0.249462211090497	0.313761386432149	0.490754989034899	yabO	SPy_0009
SPY_RS00040	79.5039393200088	0.388893475859202	0.28861134048173	0.0594978664636053	0.147213129814786	divIC	SPy_0010
SPY_RS00045	261.458997581172	0.415637684296754	0.220605103950672	0.0208644145511672	0.0648842381924532	SPy_0012	SPy_0012
SPY_RS00050	376.569166312776	-0.0223264067751473	0.166019670245163	0.877912395610394	0.935103465035652	tilS	SPy_0013
SPY_RS00055	576.974053655861	0.30863948926817	0.181499088687779	0.0471973785715971	0.122713184286152	hpt	-
SPY_RS00060	13560.815906707	0.721697734244943	0.207053135289037	6.94165169089888e-05	0.00057383501110583	ftsH	SPy_0015
SPY_RS00065	533.967316702072	0.530071702406013	0.190141754069094	0.00140548127950996	0.00739387237301602	yfnA	SPy_0016
SPY_RS00210	10265.8360898773	-0.0170742723366518	0.13714516312967	0.889596642484269	0.941227668432322	p40	SPy_0019
SPY_RS00215	11116.9411316722	0.567312888321058	0.150365143446969	4.1170058123554e-05	0.000372854911986254	prs	SPy_0020
SPY_RS00220	130.072460683639	0.0916674687196854	0.213235264189229	0.586994228986876	0.729031203737811	recO	SPy_0021
SPY_RS00225	1167.06929752923	0.243569471065557	0.149203521121726	0.0713885269857732	0.169748431483413	plsX	SPy_0022
SPY_RS00230	229.630604243363	0.0850481484886633	0.190377314602218	0.592115037626614	0.733094808490094	acpP_1	SPy_0023
SPY_RS00235	69.2490231061087	-0.00594748945826151	0.248653255770377	0.970335097324944	0.988719077650786	purC	SPy_0024
SPY_RS00240	476.625796642599	0.0012133960174762	0.191848077475847	0.994635898753725	0.996110073591754	purL	SPy_0025
SPY_RS00245	140.402458405819	0.128988050411639	0.241994562346164	0.462969745959646	0.635731616529869	purF	SPy_0026
SPY_RS00250	245.095634740696	-0.239451579173503	0.2398218928014	0.181735614766306	0.336649111215299	purM	SPy_0027
SPY_RS00255	47.8651602358879	0.271332638059262	0.349855613215228	0.156675015610624	0.305170191621534	purN	SPy_0028
SPY_RS00260	120.888773943608	0.111028008495446	0.259544383843637	0.521873674671497	0.676218666690355	purH	-
SPY_RS00270	184.948086367732	-0.111455170250979	0.233456138613101	0.515310790749771	0.67045358008953	purD	SPy_0032
SPY_RS00275	156.560285754448	-0.436399799935643	0.287017506950834	0.0345338118143313	0.0953080898323387	purE	SPy_0033
SPY_RS00280	433.460683761844	-0.524681389193151	0.255052611471564	0.00853999821408498	0.0319444272819311	purK	SPy_0034
SPY_RS00285	312.698886620715	-0.0790160073551452	0.214111592904489	0.635021034384062	0.765702991403345	SPy_0035	SPy_0035
SPY_RS00290	1090.62978803082	-0.220359547929948	0.178436914372363	0.148665944238954	0.293995246337882	purB	SPy_0036
SPY_RS00295	59.4051985133787	0.113497287444496	0.258957788452566	0.521789701045946	0.676218666690355	rgg4	SPy_0037
SPY_RS00300	3472.68891375767	0.0975659439896815	0.176673384380116	0.51384769313415	0.669648678151817	ruvB	SPy_0038
SPY_RS00305	713.578468402671	-0.226498325618122	0.154093796638133	0.0997714444964524	0.2200799874428	ptpA	SPy_0039
SPY_RS00310	597.678180345921	-0.0834731996306565	0.154076341153577	0.542753227474326	0.693081013505862	SPy_0040	SPy_0040
SPY_RS00315	2614.75780578862	0.0126416614641264	0.147760464423195	0.925419361832958	0.962686153412584	SPy_0041	SPy_0041
SPY_RS00320	9349.97874133064	-0.622637677981664	0.17037670639226	5.15752824676601e-05	0.000454435544409494	adhE	-
SPY_RS00325	18546.1806739972	0.228952658810351	0.131380245159575	0.0606247210280887	0.148848793221152	adhP	SPy_0044
SPY_RS00330	94.6770620055768	-0.106139808344201	0.22485469046583	0.536170488097194	0.687094503350676	norN	SPy_0045
SPY_RS00335	5537.64418303366	0.980087601900893	0.179330255067399	4.52075227020328e-09	1.13808144453054e-07	rpsJ	SPy_0047
SPY_RS00340	5525.59010265575	1.09488089519655	0.153878910203371	1.06994576288161e-13	6.06047849975086e-12	rplC	SPy_0049
SPY_RS00345	5196.62613039972	0.985426616817545	0.144048042241745	9.13208145193393e-13	4.13813748079063e-11	rplD	SPy_0050
SPY_RS00350	1999.56636586422	0.885071129311424	0.157285745979271	2.38744951646286e-09	6.31082488851682e-08	rplW	SPy_0051
SPY_RS00355	4320.08307816958	0.889364795994545	0.151912031619217	6.11233901215419e-10	1.73110172737081e-08	rplB	SPy_0052
SPY_RS00360	946.173924804709	0.873986965091759	0.185548406368117	3.05571972610793e-07	5.38485720623019e-06	rpsS	SPy_0053
SPY_RS00365	1007.04975554512	1.06392919536856	0.165271612531942	1.24768239867215e-11	4.82640069340007e-10	rplV	SPy_0055
SPY_RS00370	3524.92865755305	0.673772611976607	0.165727647564878	8.88211834316647e-06	0.000101447879745711	rpsC	SPy_0056
SPY_RS00375	2845.55314040511	0.405389480429465	0.196094564556766	0.0146849810682172	0.0490323788930367	rplP	SPy_0057
SPY_RS00380	1044.69851341319	0.378528004972858	0.203240969123051	0.02503659273635	0.0747797289639379	rpmC	SPy_0059
SPY_RS00385	2028.89644639733	0.216776272275008	0.195093528815445	0.176932854780014	0.331696817589955	rpsQ	SPy_0060
SPY_RS00390	1944.79265070148	0.562167760059214	0.19924712780131	0.00107929510767794	0.00600618259921828	rplN	SPy_0061
SPY_RS00395	1290.86647333997	0.564109940780731	0.206761387221329	0.00140469887644392	0.00739387237301602	rplX	SPy_0062
SPY_RS00400	2675.01516782488	0.752771785945451	0.182507844366611	5.44372848181467e-06	6.69283207144036e-05	rplE	SPy_0063
SPY_RS00405	1366.3923969258	0.47846999311856	0.219353014033791	0.00800210879725	0.0302896051370847	rpsN	SPy_0064
SPY_RS00410	3166.2949485352	0.540514049374852	0.199944840946985	0.00164215003107177	0.00836749753953635	rpsH	SPy_0065
SPY_RS00415	3655.35462454583	0.655701010882456	0.203050985863612	0.000211405754472816	0.00156677348875648	rplF	SPy_0066
SPY_RS00420	3690.76562416067	0.562541107160774	0.208028109138185	0.00149030865727409	0.00774960501782528	rplR	SPy_0067
SPY_RS00425	5764.85123367047	0.843445631825117	0.186966005287546	7.36506777704882e-07	1.19193851983668e-05	rpsE	SPy_0069
SPY_RS00430	1515.32535759841	0.806413431623397	0.191542658973182	3.36798299683826e-06	4.45135086082124e-05	rpmD	SPy_0071
SPY_RS00435	3387.32181631973	0.588959566322615	0.182702114921824	0.000275519232846826	0.00196483694734932	rplO	SPy_0072
SPY_RS00440	8212.58935370923	0.632247638602305	0.187997945731321	0.000144263092989375	0.00110000608404399	secY	SPy_0073
SPY_RS00445	921.597137643533	0.510558103198351	0.185444901107814	0.00164606508974486	0.00836749753953635	adk	SPy_0074
SPY_RS00450	2324.21399882018	0.171298589158318	0.164244649433256	0.236251897547898	0.401561664515166	infA	SPy_0075
SPY_RS00455	1149.71917763255	0.223591746294768	0.176624510745138	0.160489333687364	0.310031770070839	rpmJ	SPy_0076
SPY_RS00460	2446.2499105387	0.322607758308963	0.170167092868248	0.0302493821194909	0.0867550091166593	rpsM	SPy_0077
SPY_RS00465	771.824560689516	0.221103016385253	0.181188519416856	0.152184665934792	0.298349666467961	rpsK	SPy_0078
SPY_RS00470	2651.2415260898	0.10369301870963	0.200009354926683	0.515831499169071	0.670580948919793	rpoA	SPy_0080
SPY_RS00475	1746.95918391212	0.345912003213511	0.198722278264843	0.0367557418320723	0.100507942320115	rplQ	-
SPY_RS00565	1163.09232004428	-0.481971607527498	0.165987313141246	0.00116131869369336	0.00632897943361048	ispE	SPy_0088
SPY_RS00570	51.1868195604477	-0.148742890410261	0.265525569426407	0.407972180523821	0.584028911410058	adcR	SPy_0092
