"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS00005"	"dnaA"	"dnaA"	"SPy_0002"	"chromosomal replication initiator protein DnaA"	"dnaA"	"it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids"	"-"	"GO:0003677 - DNA binding [Evidence IEA] | GO:0003688 - DNA replication origin binding [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA]"	"GO:0006270 - DNA replication initiation [Evidence IEA] | GO:0006275 - regulation of DNA replication [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837"	"ko:K02313"	"ko02020,ko04112,map02020,map04112"	"-"	"-"	"-"	"0.0"
"SPY_RS00010"	"dnaN"	"dnaN"	"SPy_0003"	"DNA polymerase III subunit beta"	"dnaN"	"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria"	"GO:0009360 - DNA polymerase III complex [Evidence IEA]"	"GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA]"	"-"	"ko:K02338"	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	"M00260"	"R00375,R00376,R00377,R00378"	"RC02795"	"3.85e-260"
"SPY_RS00015"	"yyzM"	"-"	"SPy_0004"	"DUF951 family protein"	"yyzM"	"Protein conserved in bacteria"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.37e-41"
"SPY_RS00020"	"ychF"	"ychF"	"SPy_0006"	"redox-regulated ATPase YchF"	"ychF"	"ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner"	"-"	"GO:0005525 - GTP binding [Evidence IEA]"	"-"	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0044424,GO:0044464"	"ko:K06942"	"-"	"-"	"-"	"-"	"3.4e-255"
"SPY_RS00025"	"pth"	"pth"	"SPy_0007"	"aminoacyl-tRNA hydrolase"	"pth"	"The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis"	"-"	"GO:0004045 - aminoacyl-tRNA hydrolase activity [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004045,GO:0016787,GO:0016788,GO:0052689,GO:0140098,GO:0140101"	"ko:K01056"	"-"	"-"	"-"	"-"	"2.9999999999999998e-133"
"SPY_RS00030"	"mfd"	"mfd"	"SPy_0008"	"transcription-repair coupling factor"	"mfd"	"Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site"	"-"	"GO:0003690 - double-stranded DNA binding [Evidence IEA] | GO:0005515 - protein binding [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA] | GO:0016887 - ATP hydrolysis activity [Evidence IEA]"	"GO:0006281 - DNA repair [Evidence IEA]"	"-"	"ko:K03723"	"ko03420,map03420"	"-"	"-"	"-"	"0.0"
"SPY_RS00035"	"yabO"	"-"	"SPy_0009"	"RNA-binding S4 domain-containing protein"	"yabO"	"Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.0299999999999997e-52"
"SPY_RS00040"	"divIC"	"-"	"SPy_0010"	"septum formation initiator family protein"	"divIC"	"cell cycle"	"-"	"-"	"-"	"-"	"ko:K05589,ko:K13052"	"-"	"-"	"-"	"-"	"2.26e-78"
"SPY_RS09465"	"SPY_RS09465"	"-"	"-"	"SP_0009 family protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.52e-07"
"SPY_RS00045"	"SPy_0012"	"-"	"SPy_0012"	"serine hydrolase"	"XK27_09285"	"Beta-lactamase"	"-"	"-"	"-"	"-"	"ko:K01467,ko:K17836"	"ko00311,ko01130,ko01501,ko02020,map00311,map01130,map01501,map02020"	"M00627,M00628"	"R06363"	"RC01499"	"3.9300000000000003e-308"
