locus_tag	old_locus_tag	Gene_name	UniProt	protein_id	Pfam	eggNOG_PFAMs	Interpro	RBP_type	OOPS_rep1	OOPS_rep2	OOPS_rep3	OOPS_rep4	OOPS_mean	OOPS_p_val	OOPS_p_adj	RNA_binding_sites	Novel_RBP	product	Bacteria_OGs	Firmicutes_OGs	eco-shchepachev	eco-queiroz	eco-monti	eco-stenum	sal-urdaneta	sau-chu
-	SPy_0084	-	Q9A1U8	-	-	-	-	-	-	-	-	-	-	-	-	-	No	-	-	-	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS00005	SPy_0002	dnaA	P0A3A4	WP_002987659.1	"Bac_DnaA;Bac_DnaA_C"	Bac_DnaA,Bac_DnaA_C,DnaA_N	"AAA+_ATPase;Chromosome_initiator_DnaA;Chromosome_initiator_DnaA-like;Chromosome_initiator_DnaA_CS;DnaA_C;DnaA_Hda;P-loop_NTPase;Trp_repressor/repl_initiator"	-	0.073590263	1.184592842	0.918427928	1.26408116	0.860173048	0.021354388	0.042250845	-	No	chromosomal replication initiator protein DnaA	COG0593	1TPV7	RBP	RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00010	SPy_0003	dnaN	Q9A209	WP_010921762.1	"DNA_pol3_beta;DNA_pol3_beta_2;DNA_pol3_beta_3"	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3	"DNA_polIII_beta;DNA_polIII_beta_C;DNA_polIII_beta_cen;DNA_polIII_beta_N"	-	0.125771418	0.126870901	-0.103649103	0.378171946	0.131791291	0.275184144	0.364215419	-	No	DNA polymerase III subunit beta	COG0592	1TQ7J	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS00015	SPy_0004	yyzM	Q9A208	WP_002981933.1	DUF951	DUF951	DUF951	-	-	-	-	-	-	-	-	-	No	DUF951 family protein	COG4481	1VEQ7	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_RBP
SPY_RS00020	SPy_0006	ychF	Q9A207	WP_010921763.1	"MMR_HSR1;YchF-GTPase_C"	MMR_HSR1,YchF-GTPase_C	"ATPase_YchF/OLA1;Beta-grasp_dom;DUF933;GTP_binding_domain;P-loop_NTPase;TGS-like;TGS-like_dom"	-	4.753594076	4.515173098	4.835782223	4.374022531	4.619642982	0.00000123	0.000206812	-	No	redox-regulated ATPase YchF	COG0012	1TPRK	RBP	RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00025	SPy_0007	pth	Q9A206	WP_002981924.1	Pept_tRNA_hydro	Pept_tRNA_hydro	"Pept_tRNA_hydro;Pept_tRNA_hydro_CS"	Translation	2.796055419	2.451810551	2.951055018	1.024200157	2.305780286	0.003182656	0.008962528	"49G; 52F; 61V; 62K; 63P; 66F"	No	aminoacyl-tRNA hydrolase	COG0193	1V3NB	RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS00030	SPy_0008	mfd	Q9A205	WP_010921764.1	"CarD_CdnL_TRCF;DEAD;Helicase_C;TRCF"	CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF	"CarD-like/TRCF_domain;DEAD/DEAH_box_helicase_dom;Helicase_ATP-bd;Helicase_C;Mfd;P-loop_NTPase;TRCF_C"	-	0.017610946	0.350413999	0.296339808	-0.041107959	0.155814199	0.208453081	0.287262675	-	No	transcription-repair coupling factor	COG1197	1TPF1	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS00035	SPy_0009	yabO	Q9A204	WP_002987671.1	S4	S4	"RNAbp_HP1423;S4_RNA-bd"	Other RBP	-	-	-	-	-	-	-	"58S; 59F"	No	RNA-binding S4 domain-containing protein	COG1188	1VEI5	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	RBP
SPY_RS00040	SPy_0010	divIC	Q9A203	WP_010921765.1	DivIC	DivIC	FtsL/DivIC	-	-	-	-	-	-	-	-	-	No	septum formation initiator family protein	COG2919	COG2919	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS00045	SPy_0012	SPy_0012	Q9A202	WP_010921766.1	-	Beta-lactamase2,SH3_8	Beta-lactam/transpept-like	-	0.84088821	-0.866818192	1.072054202	-0.103942846	0.235545343	0.571640765	0.651314647	-	No	serine hydrolase	COG2367	COG2367	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS00050	SPy_0013	tilS	Q9A201	WP_010921767.1	ATP_bind_3	ATP_bind_3,TilS,TilS_C	"Lysidine-tRNA-synth_C;Rossmann-like_a/b/a_fold;tRNA-lysidine/thiocyt_synth;tRNA_Ile_lys_synt;tRNA_Ile_lys_synt_N"	-	3.473513968	-2.567575129	3.453886744	-3.535528867	0.206074179	0.903752152	0.940617196	-	No	tRNA lysidine(34) synthetase TilS	COG0037	1TPXP	RBP	RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00060	SPy_0015	ftsH	Q9A200	WP_010921768.1	"AAA;FtsH_ext;Peptidase_M41"	AAA,FtsH_ext,Peptidase_M41	"AAA+_ATPase;ATPase_AAA_core;ATPase_AAA_CS;FtsH;P-loop_NTPase;Pept_M41_FtsH_extracell;Peptidase_M41"	-	0.113493169	0.194628799	0.153128683	-0.031069929	0.10754518	0.22801382	0.311163106	-	No	ATP-dependent zinc metalloprotease FtsH	COG0465	1TPTV	no_RBP	RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS00065	SPy_0016	yfnA	Q9A1Z9	WP_002987685.1	AA_permease_2	AA_permease_2	AA/rel_permease1	-	-	-	-	-	-	-	-	-	No	amino acid permease	COG0531	1TQ4K	no_RBP	RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00210	SPy_0019	p40	Q9A1Z8	WP_010921769.1	CHAP	CHAP,LysM	"CHAP_dom;SibA"	-	0.073590263	0.433434477	-0.021789352	0.137558766	0.155698539	0.208947933	0.287474116	222E	No	CHAP domain-containing protein	COG3883	1VCXB	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_RBP
SPY_RS00215	SPy_0020	prs	P65243	WP_002986722.1	"Pribosyl_synth;Pribosyltran_N"	Pribosyl_synth,Pribosyltran_N	"PRib_PP_synth_CS;Pribosyltran_N;PRTase-like;Rib-P_diPkinase"	-	0.217890706	0.271080414	0.2503169	0.154708437	0.223499114	0.0275858	0.052313612	-	No	ribose-phosphate diphosphokinase	COG0462	1TQ6Q	no_RBP	RBP	RBP	no_RBP	no_RBP	no_RBP
