UniProt	GOBP name	GOMF name	GOCC name	GOBP slim name	GOCC slim name	KEGG name	Pfam	GSEA	Keywords	Corum	GOBP	GOMF	GOCC	GOBP slim	GOCC slim	ENSG	ENSP	ENST	Isoform ID	Flybase	Gene name	Interpro	Interpro name	KEGG	MGI	MIM	PDB	Pfam	PRINTS	PRINTS name	Prosite	Prosite name	Protein name	Reactome	SGD	SMART	SMART name	Taxonomy	UniProt names	WormBase	EC	eggNOG
#!{Type}	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Text	Text	Text	Text	Text	Text	Categorical	Categorical	Categorical	Text	Categorical	Text	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical	Text	Text	Text	Text
Q99Y98;Q48WX5	organic acid metabolic process;cellular amino acid metabolic process;alanine metabolic process;alanine biosynthetic process;nitrogen compound metabolic process;metabolic process;cellular amino acid biosynthetic process;biosynthetic process;pyruvate family amino acid metabolic process;pyruvate family amino acid biosynthetic process;amine metabolic process;amine biosynthetic process;cellular process;organic acid biosynthetic process;carboxylic acid metabolic process;D-alanine biosynthetic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;small molecule metabolic process;small molecule biosynthetic process;D-alanine family amino acid metabolic process;D-alanine family amino acid biosynthetic process;carboxylic acid biosynthetic process;D-amino acid metabolic process;D-alanine metabolic process;D-amino acid biosynthetic process	catalytic activity;binding;alanine racemase activity;isomerase activity;racemase and epimerase activity;racemase and epimerase activity, acting on amino acids and derivatives;vitamin binding;pyridoxal phosphate binding;amino-acid racemase activity;cofactor binding;vitamin B6 binding		organic acid metabolic process;cellular amino acid metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;amine metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process		D-Alanine metabolism	Ala_racemase_C;Ala_racemase_N		Completeproteome;Isomerase;Pyridoxalphosphate;Referenceproteome		GO:0006082;GO:0006520;GO:0006522;GO:0006523;GO:0006807;GO:0008152;GO:0008652;GO:0009058;GO:0009078;GO:0009079;GO:0009308;GO:0009309;GO:0009987;GO:0016053;GO:0019752;GO:0030632;GO:0034641;GO:0042180;GO:0043436;GO:0044106;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046144;GO:0046145;GO:0046394;GO:0046416;GO:0046436;GO:0046437	GO:0003824;GO:0005488;GO:0008784;GO:0016853;GO:0016854;GO:0016855;GO:0019842;GO:0030170;GO:0047661;GO:0048037;GO:0070279		GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281		SPy_1802;M5005_Spy1532	AAK34532;AAZ52150	AAK34532;AAZ52150			alr	IPR000821;IPR009006;IPR011079;IPR001608;IPR020622;IPR029066	Ala_racemase;Ala_racemase/Decarboxylase_C;Ala_racemase_C;Ala_racemase_N;Ala_racemase_pyridoxalP-BS;PLP-binding_barrel	ko00473				PF00842;PF01168	PR00992	ALARACEMASE	PS00395	ALANINE_RACEMASE	Alanine racemase			SM01005	Ala_racemase_C	Streptococcus pyogenes serotype M1	ALR_STRP1		5.1.1.1	COG0787
Q9A0E4;Q48ZH5	organic acid metabolic process;cellular amino acid metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;metabolic process;cellular amino acid biosynthetic process;biosynthetic process;aromatic amino acid family metabolic process;aromatic amino acid family biosynthetic process;amine metabolic process;amine biosynthetic process;chorismate biosynthetic process;cellular process;organic acid biosynthetic process;aromatic compound biosynthetic process;carboxylic acid metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;oxoacid metabolic process;dicarboxylic acid metabolic process;dicarboxylic acid biosynthetic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;small molecule metabolic process;small molecule biosynthetic process;carboxylic acid biosynthetic process;chorismate metabolic process	catalytic activity;chorismate synthase activity;lyase activity;carbon-oxygen lyase activity;carbon-oxygen lyase activity, acting on phosphates		organic acid metabolic process;cellular amino acid metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;amine metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process		Phenylalanine, tyrosine and tryptophan biosynthesis	Chorismate_synt		Amino-acidbiosynthesis;Aromaticaminoacidbiosynthesis;Completeproteome;FAD;Flavoprotein;FMN;Lyase;NADP;Referenceproteome		GO:0006082;GO:0006520;GO:0006725;GO:0006807;GO:0008152;GO:0008652;GO:0009058;GO:0009072;GO:0009073;GO:0009308;GO:0009309;GO:0009423;GO:0009987;GO:0016053;GO:0019438;GO:0019752;GO:0034641;GO:0042180;GO:0043436;GO:0043648;GO:0043650;GO:0044106;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046394;GO:0046417	GO:0003824;GO:0004107;GO:0016829;GO:0016835;GO:0016838		GO:0006082;GO:0006520;GO:0006725;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281		SPy_0810;M5005_Spy0625	AAK33747;AAZ51243	AAK33747;AAZ51243			aroC	IPR000453;IPR020541	Chorismate_synth;Chorismate_synthase_CS	ko00400				PF01264			PS00787;PS00788;PS00789	CHORISMATE_SYNTHASE_1;CHORISMATE_SYNTHASE_2;CHORISMATE_SYNTHASE_3	Chorismate synthase					Streptococcus pyogenes serotype M1	AROC_STRP1		4.2.3.5	COG0082
P58159;Q48YQ6	phosphorus metabolic process;phosphate-containing compound metabolic process;metabolic process;cellular process;phosphorylation;cellular metabolic process	nucleotide binding;catalytic activity;binding;ATP binding;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, for other substituted phosphate groups;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;triphosphoribosyl-dephospho-CoA synthase activity		phosphorus metabolic process;metabolic process;cellular process;cellular metabolic process		Two-component system	CitG		ATP-binding;Completeproteome;Nucleotide-binding;Referenceproteome;Transferase		GO:0006793;GO:0006796;GO:0008152;GO:0009987;GO:0016310;GO:0044237	GO:0000166;GO:0003824;GO:0005488;GO:0005524;GO:0016740;GO:0016772;GO:0016780;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0046917		GO:0006793;GO:0008152;GO:0009987;GO:0044237		SPy_1178;M5005_Spy0898	AAK34045;AAZ51516	AAK34045;AAZ51516			citG	IPR002736;IPR017551	CitG;TriPribosyl-deP-CoA_syn_CitG	ko02020				PF01874					Probable 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase					Streptococcus pyogenes serotype M1	CITG_STRP1		2.4.2.52	COG1767
Q9A0L0;Q48ZP7	nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;DNA-dependent DNA replication;DNA topological change;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular nitrogen compound metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;DNA conformation change;nucleic acid metabolic process	nucleotide binding;magnesium ion binding;nucleic acid binding;DNA binding;catalytic activity;DNA topoisomerase activity;DNA topoisomerase (ATP-hydrolyzing) activity;binding;ATP binding;DNA-dependent ATPase activity;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;isomerase activity;ATPase activity;purine nucleotide binding;nucleoside-triphosphatase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;ATPase activity, coupled;ion binding;cation binding;metal ion binding	chromosome;cytoplasm;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;intracellular part;cell part	nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;nitrogen compound metabolic process;metabolic process;biosynthetic process;cellular process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process	chromosome;cytoplasm;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part		DNA_gyraseB;DNA_gyraseB_C;HATPase_c;Toprim		ATP-binding;Completeproteome;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Referenceproteome;Topoisomerase		GO:0006139;GO:0006259;GO:0006260;GO:0006261;GO:0006265;GO:0006807;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0034641;GO:0034645;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0071103;GO:0090304	GO:0000166;GO:0000287;GO:0003676;GO:0003677;GO:0003824;GO:0003916;GO:0003918;GO:0005488;GO:0005524;GO:0008094;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016853;GO:0016887;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0042623;GO:0043167;GO:0043169;GO:0046872	GO:0005694;GO:0005737;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044424;GO:0044464	GO:0006139;GO:0006259;GO:0006260;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238	GO:0005694;GO:0005737;GO:0043226;GO:0043229;GO:0043232;GO:0044464	SPy_0727;M5005_Spy0553	AAK33677;AAZ51171	AAK33677;AAZ51171			gyrB	IPR002288;IPR011557;IPR003594;IPR020568;IPR014721;IPR001241;IPR013506;IPR013759;IPR013760;IPR018522;IPR006171	DNA_gyrase_B_C;GyrB;HATPase_C;Ribosomal_S5_D2-typ_fold;Ribosomal_S5_D2-typ_fold_subgr;Topo_IIA;Topo_IIA_bsu_dom2;Topo_IIA_cen_dom;Topo_IIA_like_dom;TopoIIA_CS;Toprim_domain					PF00204;PF00986;PF02518;PF01751	PR00418	TPI2FAMILY	PS00177;PS50880	TOPOISOMERASE_II;TOPRIM	DNA gyrase subunit B			SM00387;SM00433	HATPase_c;TOP2c	Streptococcus pyogenes serotype M1	GYRB_STRP1		5.99.1.3	COG0187
P58080;Q48W87	organic acid metabolic process;cellular amino acid metabolic process;glutamate metabolic process;histidine metabolic process;histidine catabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;cellular amino acid catabolic process;glutamine family amino acid metabolic process;histidine family amino acid metabolic process;histidine family amino acid catabolic process;amine metabolic process;amine catabolic process;cellular process;formate metabolic process;organic acid catabolic process;histidine catabolic process to glutamate and formamide;histidine catabolic process to glutamate and formate;carboxylic acid metabolic process;monocarboxylic acid metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;small molecule metabolic process;small molecule catabolic process;carboxylic acid catabolic process;heterocycle metabolic process;heterocycle catabolic process	catalytic activity;binding;iron ion binding;zinc ion binding;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides;ion binding;cation binding;metal ion binding;transition metal ion binding;imidazolonepropionase activity	cytoplasm;intracellular part;cell part	organic acid metabolic process;cellular amino acid metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;amine metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process	cytoplasm;cell part	Histidine metabolism	Amidohydro_1		Completeproteome;Cytoplasm;Histidinemetabolism;Hydrolase;Iron;Metal-binding;Referenceproteome;Zinc		GO:0006082;GO:0006520;GO:0006536;GO:0006547;GO:0006548;GO:0006807;GO:0008152;GO:0009056;GO:0009063;GO:0009064;GO:0009075;GO:0009077;GO:0009308;GO:0009310;GO:0009987;GO:0015942;GO:0016054;GO:0019556;GO:0019557;GO:0019752;GO:0032787;GO:0034641;GO:0042180;GO:0043436;GO:0044106;GO:0044237;GO:0044238;GO:0044248;GO:0044281;GO:0044282;GO:0046395;GO:0046483;GO:0046700	GO:0003824;GO:0005488;GO:0005506;GO:0008270;GO:0016787;GO:0016810;GO:0016812;GO:0043167;GO:0043169;GO:0046872;GO:0046914;GO:0050480	GO:0005737;GO:0044424;GO:0044464	GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009056;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281;GO:0046483	GO:0005737;GO:0044464	SPy_2081;M5005_Spy1770	AAK34734;AAZ52388	AAK34734;AAZ52388			hutI	IPR006680;IPR005920;IPR011059	Amidohydro_1;HutI;Metal-dep_hydrolase_composite	ko00340				PF01979					Imidazolonepropionase					Streptococcus pyogenes serotype M1	HUTI_STRP1		3.5.2.7	COG1228
Q99XI8;Q48W19	tRNA wobble base modification;tRNA wobble uridine modification;nucleobase-containing compound metabolic process;RNA processing;tRNA metabolic process;tRNA modification;nitrogen compound metabolic process;tRNA processing;metabolic process;RNA modification;cellular process;RNA metabolic process;ncRNA processing;cellular nitrogen compound metabolic process;ncRNA metabolic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process;nucleic acid metabolic process	binding;cofactor binding;flavin adenine dinucleotide binding;coenzyme binding	cytoplasm;intracellular part;cell part	nucleobase-containing compound metabolic process;RNA processing;tRNA metabolic process;nitrogen compound metabolic process;tRNA processing;metabolic process;RNA modification;cellular process;RNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process	cytoplasm;cell part		GIDA;GIDA_assoc_3		Completeproteome;Cytoplasm;FAD;Flavoprotein;NAD;Referenceproteome;tRNAprocessing		GO:0002097;GO:0002098;GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006807;GO:0008033;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044260;GO:0090304	GO:0005488;GO:0048037;GO:0050660;GO:0050662	GO:0005737;GO:0044424;GO:0044464	GO:0006139;GO:0006396;GO:0006399;GO:0006807;GO:0008033;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238	GO:0005737;GO:0044464	SPy_2185;M5005_Spy1838	AAK34815;AAZ52456	AAK34815;AAZ52456			mnmG	IPR004416;IPR026904;IPR002218;IPR020595	GidA;GidA-assoc_3;GIDA-rel;GIDA-rel_CS					PF01134;PF13932			PS01280;PS01281	GIDA_1;GIDA_2	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG					Streptococcus pyogenes serotype M1	MNMG_STRP1			COG0445
Q99XS1;Q48W99		catalytic activity;peptidase activity;exopeptidase activity;hydrolase activity;dipeptidase activity;peptidase activity, acting on L-amino acid peptides				Lysine degradation;Biotin metabolism	Peptidase_C69		Completeproteome;Dipeptidase;Hydrolase;Protease;Referenceproteome			GO:0003824;GO:0008233;GO:0008238;GO:0016787;GO:0016805;GO:0070011				SPy_2066;M5005_Spy1758	AAK34726;AAZ52376	AAK34726;AAZ52376			pepDB	IPR005322	Peptidase_C69	ko00310;ko00780				PF03577					Probable dipeptidase B					Streptococcus pyogenes serotype M1	PEPDB_STRP1		3.4.-.-	COG4690
Q99Y58;Q48WT0		catalytic activity;peptidase activity;serine-type peptidase activity;exopeptidase activity;dipeptidyl-peptidase activity;hydrolase activity;serine hydrolase activity;peptidase activity, acting on L-amino acid peptides	cytoplasm;intracellular part;cell part		cytoplasm;cell part		Peptidase_S15;PepX_C;PepX_N		Aminopeptidase;Completeproteome;Cytoplasm;Hydrolase;Protease;Referenceproteome;Serineprotease			GO:0003824;GO:0008233;GO:0008236;GO:0008238;GO:0008239;GO:0016787;GO:0017171;GO:0070011	GO:0005737;GO:0044424;GO:0044464		GO:0005737;GO:0044464	SPy_1858;M5005_Spy1577	AAK34574;AAZ52195	AAK34574;AAZ52195			pepX	IPR029058;IPR008979;IPR008252;IPR015251;IPR000383;IPR013736	AB_hydrolase;Galactose-bd-like;Pept_S15_Xpro;PepX_N_dom;Xaa-Pro-like_dom;Xaa-Pro_dipept_C					PF02129;PF08530;PF09168	PR00923	LACTOPTASE			Xaa-Pro dipeptidyl-peptidase			SM00939;SM00940	PepX_C;PepX_N	Streptococcus pyogenes serotype M1	PEPX_STRP1		3.4.14.11	NOG04844
P65757;Q490N0;Q8K8I2;Q9A1A2		catalytic activity;inorganic diphosphatase activity;binding;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;manganese ion binding;ion binding;cation binding;metal ion binding;transition metal ion binding	cytoplasm;intracellular part;cell part		cytoplasm;cell part	Oxidative phosphorylation	DHH;DHHA2		Completeproteome;Cytoplasm;Hydrolase;Manganese;Metal-binding;Referenceproteome			GO:0003824;GO:0004427;GO:0005488;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0030145;GO:0043167;GO:0043169;GO:0046872;GO:0046914	GO:0005737;GO:0044424;GO:0044464		GO:0005737;GO:0044464	SPy_0380;M5005_Spy0319	AAK33422;AAZ50938	AAK33422;AAZ50938			ppaC	IPR001667;IPR004097;IPR022934	DDH_dom;DHHA2;Mn-dep_inorganic_PyrPase	ko00190				PF01368;PF02833					Probable manganese-dependent inorganic pyrophosphatase					Streptococcus pyogenes serotype M1	PPAC_STRP1		3.6.1.1	COG1227
