												annotations												log2 SILAC ratios UV / ctrl																												protein abundances																															
Accession	Gene.name	Ensembl.gene	Description	Uniprot.full.protein.name	Uniprot.short.protein.name	Gene.Synonyms.name	Coverage.in.Percent	Number.of.Peptides	Number.of.AAs	MW.in.kDa	calc.pI	GOBP.name	GOMF.name	GOCC.name	Pfam.name	Pfam.id	InterPro.name	InterPro.id	PDB	EC	Uniprot.function	Uniprot.subcellular.location	RBP	disr_log_rep3	disr_log_rep4	disr_log_rep1	disr_log_rep2	p.value.disr.log	p.adj.disr.log	mean.ratio.disr.log	disr_stat_rep3	disr_stat_rep4	disr_stat_rep1	disr_stat_rep2	p.value.disr.stat	p.adj.disr.stat	mean.ratio.disr.stat	RBP_log_rep3	RBP_log_rep4	RBP_log_rep1	RBP_log_rep2	p.value.RBP.log	p.adj.RBP.log	mean.ratio.RBP.log	RBP_stat_rep3	RBP_stat_rep4	RBP_stat_rep1	RBP_stat_rep2	p.value.RBP.stat	p.adj.RBP.stat	mean.ratio.RBP.stat	Abundances.disr_log_rep3_light_ctrl	Abundances.disr_log_rep3_heavy_UV	Abundances.disr_log_rep4_light_UV	Abundances.disr_log_rep4_heavy_ctrl	Abundances.disr_log_rep1_light_ctrl	Abundances.disr_log_rep1_heavy_UV	Abundances.disr_log_rep2_light_UV	Abundances.disr_log_rep2_heavy_ctrl	Abundances.disr_stat_rep3_light_ctrl	Abundances.disr_stat_rep3_heavy_UV	Abundances.disr_stat_rep4_light_UV	Abundances.disr_stat_rep4_heavy_ctrl	Abundances.disr_stat_rep1_light_ctrl	Abundances.disr_stat_rep1_heavy_UV	Abundances.disr_stat_rep2_light_UV	Abundances.disr_stat_rep2_heavy_ctrl	Abundances.RBP_log_rep3_light_ctrl	Abundances.RBP_log_rep3_heavy_UV	Abundances.RBP_log_rep4_light_UV	Abundances.RBP_log_rep4_heavy_ctrl	Abundances.RBP_log_rep1_light_ctrl	Abundances.RBP_log_rep1_heavy_UV	Abundances.RBP_log_rep2_light_UV	Abundances.RBP_log_rep2_heavy_ctrl	Abundances.RBP_stat_rep3_light_ctrl	Abundances.RBP_stat_rep3_heavy_UV	Abundances.RBP_stat_rep4_light_UV	Abundances.RBP_stat_rep4_heavy_ctrl	Abundances.RBP_stat_rep1_light_ctrl	Abundances.RBP_stat_rep1_heavy_UV	Abundances.RBP_stat_rep2_light_UV	Abundances.RBP_stat_rep2_heavy_ctrl
P60811	prsA1	M5005_Spy1133;SPy_1390	Foldase protein PrsA 1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=prsA1 PE=3 SV=1	Foldase protein PrsA 1			66	18	351	38.5	7.87	protein folding	peptidyl-prolyl cis-trans isomerase activity	plasma membrane	Rotamase_2	PF13145	Foldase_PrsA;PPIase_PpiC;Trigger_fact/SurA_dom_sf	IPR000297;IPR023059;IPR027304		5.2.1.8	Plays a major role in protein secretion by helping thepost-translocational extracellular folding of several secretedproteins.	 Lipid-anchor{ECO:0000305}.;Cell membrane {ECO:0000305}	-	-0.016101471	0.105078315	-0.019659967	-0.000304606	0.649366769	0.958222373	0.017253068	0.108176099	-0.058057114	0.146760443	-0.030941192	0.468799579	0.996825293	0.041484559	2.921212309	2.814463724	2.753084977	2.89063405	1.51E-06	0.000206812	2.844848765	2.3135615	2.09243734	2.360137611	2.113641909	1.62E-05	0.00020681	2.21994459	4935388386	4776210748	4828335387	3873826697	4728283996	4634410799	4127605584	4635123843	4044390025	4154098608	4330254081	3851291290	3790661787	3930219119	3723071877	3526369216	281634417.1	1899046565	1618819337	169786481.2	239256059	1378379769	1526922333	252933503.2	842599224	3573669965	3367802464	615583295.2	843267678.2	3849974066	3545314164	681618045
Q99YN9	hpf	SPy_1613	Ribosome hibernation promoting factor OS=Streptococcus pyogenes serotype M1 OX=301447 GN=hpf PE=3 SV=1	Ribosome hibernation promoting factor {ECO:0000256|HAMAP-Rule:MF_00839}	PF {ECO:0000256|HAMAP-Rule:MF_00839}		71	12	182	21.1	5.2	primary metabolic process;regulation of translation		cytoplasm	Ribosom_S30AE_C;Ribosomal_S30AE	PF02482;PF16321	HPF_long/plastid;RHF/RaiA;RHF-like;Ribosom_S30AE_C;Ribosom_S30AE_C_sf	IPR003489;IPR032528;IPR034694;IPR036567;IPR038416			 100S ribosomes aretranslationally inactive and sometimes present during exponentialgrowth.;Required for dimerization of active 70S ribosomes into100S ribosomes in stationary phase	Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00839}.	RBP	0.114754628	0.310260786	0.14571429	0.234792273	0.010801247	0.378043645	0.201380494	0.261743875	0.391646191	0.417397606	0.481627863	0.001206386	0.36248357	0.388103884	2.2775563	2.881573927	1.779886575	3.463935333	0.000990251	0.00356321	2.600738034	2.942419501	3.350039948	2.794229204	3.715616374	5.99E-05	0.000372834	3.200576257	1805050096	1594602255	1961269853	1066862447	1854011802	1646727337	1814053467	1356796293	1610661142	1720750766	2506241341	1548964174	1800765359	1788726717	2449235589	1605735911	120865430.3	459180410.5	555871665.8	67056244.25	123383659.3	295503799.9	568431791.7	69930947.18	122212497	609503471	755080274.2	73263139.53	139898064.4	661931798.7	1067651096	56461218.5
Q99ZS8	potA	M5005_Spy0826;SPy_1102	Spermidine/putrescine import ATP-binding protein PotA OS=Streptococcus pyogenes serotype M1 OX=301447 GN=potA PE=3 SV=1	Spermidine/putrescine import ATP-binding protein PotA {ECO:0000255|HAMAP-Rule:MF_01726}			47	13	384	43.8	4.64		ATP binding;putrescine-importing ATPase activity;spermidine-importing ATPase activity	ATP-binding cassette (ABC) transporter complex	ABC_tran;TOBE_2	PF00005;PF08402	AAA+_ATPase;ABC_Sperm/Put_ATP-bd_PotA;ABC_transporter_CS;ABC_transporter-like;Mo/tungstate-bd_C_term_dom;P-loop_NTPase;Sp_pt_ABC_ATP-bd;Transp-assoc_OB_typ2	IPR003439;IPR003593;IPR005893;IPR008995;IPR013611;IPR017871;IPR017879;IPR027417		3.6.3.31	Part of the ABC transporter complex PotABCD involved inspermidine/putrescine import. Responsible for energy coupling tothe transport system.	 Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01726}.;Cell membrane {ECO:0000255|HAMAP-Rule:MF_01726}	-	0.047351542	0.061677348	0.026633521	-0.063362447	0.625587769	0.951664765	0.018074991	0.060711665	0.112611903	0.238694773	0.028894972	0.085582964	0.969940258	0.110228328	0.279487661	0.132905493	0.292266895	0.084469001	0.061340273	0.102680934	0.197282263	0.282116312	0.31481038	-0.160126245	-0.286139023	0.815851448	0.850308389	0.037665356	376196519.7	452129351	381520277.3	407924400.7	356634656.3	446458793.9	351576095.6	520288557.8	224768829.6	253725960.2	252492501.5	251543024.5	231153977.3	302678176.5	246134902.9	279809757.1	4447578.691	7981385.173	5704251.721	7075311.658	4725839.06	8621036.757	4415797.572	7981940.45	1685603.301	3381337.382	1535347.74	3463733.893	2250131.444	7220352.642	1242612.927	6875115.742
Q99XT4	mipB	SPy_2048	Transaldolase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=mipB PE=4 SV=1	Transaldolase {ECO:0000256|SAAS:SAAS00118670}			64	9	222	24.4	5.45	carbohydrate metabolic process;pentose-phosphate shunt	aldehyde-lyase activity;sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	cytoplasm	TAL_FSA	PF00923	Aldolase_TIM;TAL/FSA;Transaldolase_AS;TSA/FSA_arc/bac	IPR001585;IPR013785;IPR018225;IPR033919		2.2.1.2		Cytoplasm {ECO:0000256|SAAS:SAAS00399167}.	-	-0.020491638	-0.00869566	-0.280543112	0.050512497	0.392081336	0.930974226	-0.064804478	-0.042661718	-0.059040469	-0.048596745	-0.219396805	0.115526063	0.996825293	-0.092423934	0.31427859	1.285126792	0.718432389	0.278574249	0.033806403	0.062150637	0.649103005	1.013899486	0.551309962	0.986489166	1.10453534	0.001931433	0.005130369	0.914058488	235365768.1	135996788.7	283611994.7	146520427.7	236402934.3	130892566.6	235677031.9	145700547.7	220087032.7	222425219	237937965.3	234986975.5	217277300.9	207932374.3	191864908.3	231688073.4	3280057.783	2130604.347	2955415.414	1211114.034	3253519.535	2858744.803	1501573.977	2114215.453	2068918.656	2070681.165	2716913.147	797834.6909	2769779.279	1934118.261	2359742.759	698607.1201
P66567	rpsD	M5005_Spy1831;SPy_2178	30S ribosomal protein S4 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=rpsD PE=3 SV=1	30S ribosomal protein S4 {ECO:0000255|HAMAP-Rule:MF_01306}			87	27	203	23.1	9.98	translation	rRNA binding;structural constituent of ribosome	small ribosomal subunit	Ribosomal_S4;S4	PF00163;PF01479	Ribosomal_S4/S9;Ribosomal_S4/S9_N;Ribosomal_S4_bac-type;Ribosomal_S4_CS;S4_RNA-bd;S4_RNA-bd_sf	IPR001912;IPR002942;IPR005709;IPR018079;IPR022801;IPR036986			One of the primary rRNA binding proteins, it bindsdirectly to 16S rRNA where it nucleates assembly of the body ofthe 30S subunit.		RBP	-0.050747741	-0.032936127	-0.078358801	-0.075891436	0.083692717	0.750287289	-0.059483526	-0.024965583	0.02110913	-0.027399265	0.01123923	0.879420941	0.996825293	-0.005004122	2.108877835	1.832202778	1.932522254	2.275435997	2.95E-05	0.000365274	2.037259716	2.959053314	2.486365208	3.05544615	2.948243622	2.09E-05	0.000218227	2.862277074	18002119228	21285020981	17524291889	20613042609	19888505865	25108919005	16527218970	26910898084	11768265122	12573986054	12491453038	12591370198	12492835017	15295677068	11932015527	12938973833	251829891.1	961337223.2	972599100	261262732	252565875.4	704581121.9	897358515.4	246012038.4	231737892.5	1295903228	1310070578	229675640.6	262365078	1580253758	1533745002	196503315.9
Q9A1C7	murC	M5005_Spy0290;SPy_0345	UDP-N-acetylmuramate--L-alanine ligase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=murC PE=3 SV=1	UDP-N-acetylmuramate--L-alanine ligase {ECO:0000255|HAMAP-Rule:MF_00046}			47	15	442	49.6	5.72	cell cycle;cell division;cell wall organization;peptidoglycan biosynthetic process;regulation of cell shape	ATP binding;UDP-N-acetylmuramate-L-alanine ligase activity	cytoplasm	Mur_ligase;Mur_ligase_C;Mur_ligase_M	PF01225;PF02875;PF08245	Mur_ligase_C;Mur_ligase_C_dom_sf;Mur_ligase_cen;Mur_ligase_N;Mur-like_cat_sf;UDP-N-AcMur_Ala_ligase_murC	IPR000713;IPR004101;IPR005758;IPR013221;IPR036565;IPR036615		6.3.2.8	Cell wall formation.	Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00046}.	-	0.049509202	-0.04152856	0.092410559	-0.013472502	0.574603002	0.938770035	0.021729675	-0.085161809	0.06390941	0.015004632	-0.019440497	0.878628445	0.996825293	-0.006422066	0.043493462	0.310244846	0.546941868	0.55930752	0.037364466	0.067368052	0.364996924	-0.09741931	0.539935315	-0.068363677	-0.008779117	0.574782632	0.628155305	0.091343303	783307187.1	948995107.1	815701875.7	885350816.6	811481570.4	1021729855	773783003.5	1080671350	581381255.9	716494969.9	600965503.5	672697126.7	709187769.6	841889905.3	607061697.1	732058449.7	14717870.45	9686405.004	20534075.3	9428329.785	11262875.11	6421722.551	18641328.83	7340541.52	15876669.41	4796529.838	9631305.886	4242611.422	10188847.53	5870868.262	9666779.605	5329949.488
Q9A1A9		SPy_0371	Putative tRNA (cytidine(34)-2'-O)-methyltransferase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0371 PE=3 SV=1	Putative tRNA (cytidine(34)-2'-O)-methyltransferase {ECO:0000256|HAMAP-Rule:MF_01885}			41	6	182	21.2	7.64		RNA binding;S-adenosylmethionine-dependent methyltransferase activity;tRNA methyltransferase activity	cytoplasm	SpoU_methylase	PF00588	Alpha/beta_knot_MTases;SpoU_MeTrfase;tRNA_cyt/urid_MeTfrase;tRNA_m1G_MTases_N	IPR001537;IPR016914;IPR029026;IPR029028		2.1.1.207	Could methylate the ribose at the nucleotide 34 wobbleposition in tRNA.	Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01885}.	RBP	-0.064988847	0.028651737	0.050148315	0.124016542	0.451178369	0.930974226	0.034456937	-0.178082341	0.216383128	0.044024695	0.068695177	0.641556871	0.996825293	0.037755165	2.758524055	2.759834971	2.967482165	3.132592546	5.57E-06	0.000246664	2.904608434	3.113268058	4.167862299	4.950410329	1.986992478	0.002641166	0.006602916	3.554633291	96591226.37	92725385.07	92273648.3	78173940.65	101141453.2	95436430.07	79849124.68	89869782.86	64846387.98	54893518.67	84574040.84	68136986.74	85144465.53	77844768.38	83075270.79	73106476.2	1336296.889	11150775.31	10964342.78	1028153.576	1384732.169	8304100.496	9510222.275	937624.7549	898280.761	8763644.021	12425190.67	418458.3302	514874.1009	11973406.44	4951604.41	640437.3149
P0C0C3	hslO	M5005_Spy0105;SPy_0123	33 kDa chaperonin OS=Streptococcus pyogenes serotype M1 OX=301447 GN=hslO PE=3 SV=1	33 kDa chaperonin {ECO:0000255|HAMAP-Rule:MF_00117}			56	17	290	31.4	4.94	protein folding	unfolded protein binding	cytoplasm	HSP33	PF01430	Heat_shock_Hsp33;Heat_shock_Hsp33_C;Heat_shock_Hsp33_N	IPR000397;IPR016153;IPR016154			Redox regulated molecular chaperone. Protects boththermally unfolding and oxidatively damaged proteins fromirreversible aggregation. Plays an important role in the bacterialdefense system toward oxidative stress.	Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00117}.	-	-0.03717603	-0.055317944	-0.107993239	0.056389613	0.398463474	0.930974226	-0.0360244	-0.070945449	0.183232808	0.065654088	0.064306413	0.315345888	0.996825293	0.060561965	0.026352011	0.075448377	0.297090162	-0.159568955	0.587799003	0.665224141	0.059830399	0.124088191	0.506180922	0.327410963	0.451771645	0.02813078	0.045210182	0.35236293	604647299.7	571157311.8	593063886.5	505125845	585247341	545157130.7	532846994.8	569755241.4	398775631.7	392047186.2	498541556.1	364980919	458264714.3	460889729.8	457794298.3	412429827.5	16930142.7	16666065.61	16006134.73	12141116.99	15513400.9	19110003.19	11864212.61	17983119.27	4518700.865	3534857.132	6768018.081	5269007.716	2943343.964	4370668.931	5475427.378	2012567.655
Q9A1A5		SPy_0377	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0377 PE=4 SV=1				78	10	184	20.2	6.19				rRNA_methylase	PF06962	rRNA_methylase;SAM-dependent_MTases	IPR010719;IPR029063					RBP	0.908679737	0.194464794	1.35210227	0.208072585	0.051833855	0.667286411	0.665829846	1.377819907	-0.173820097	0.012352652	0.665942936	0.191456976	0.996825293	0.47057385	5.828856491	2.627868679	4.315867749	3.547574897	0.001804044	0.00579773	4.080041954	5.87844488	2.113641909	3.466641234	2.167333491	0.009737385	0.018906344	3.406515378	8496727.17	19069517.1	16466021.62	17491446.83	6818957.801	23662315.62	12270510.29	21654326.75	11210119.39	21147481.36	16688231.66	6658449.376	10460202.15	9946596.04	15871176.26	6817064.559	898981.2936	47996185.81	36519706.54	171201.0991	822553.9274	33437805.65	47677785.22	131843.3708	2521257.051	60002952.03	130324682.6	2635492.491	997750.9966	74052894.19	162772786.9	1453049.8
