Uniprot	InterPro	Domain	Database.ID	Start	End
P0A2V6	IPR003439	ABC transporter-like	PF00005	25	178
P0A2V6	IPR003439	ABC transporter-like	PS50893	6	251
P0A2V6	IPR003593	AAA+ ATPase domain	SM00382	34	228
P0A2V6	IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	PF08352	230	262
P0A2V6	IPR017871	ABC transporter, conserved site	PS00211	151	165
P0A2V6	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	5	250
P0A349	IPR010312	GTP-sensing transcriptional pleiotropic repressor CodY, N-terminal	PF06018	3	182
P0A349	IPR011991	ArsR-like helix-turn-helix domain	cd00090	193	260
P0A349	IPR013198	GTP-sensing helix-turn-helix, CodY, C-terminal	PF08222	202	260
P0A349	IPR014154	GTP-sensing transcriptional pleiotropic repressor CodY	MF_00621	1	260
P0A349	IPR014154	GTP-sensing transcriptional pleiotropic repressor CodY	PIRSF011572	1	260
P0A349	IPR014154	GTP-sensing transcriptional pleiotropic repressor CodY	PTHR40062	3	259
P0A349	IPR014154	GTP-sensing transcriptional pleiotropic repressor CodY	TIGR02787	4	257
P0A349	IPR029016	GAF-like domain superfamily	G3DSA:3.30.450.40	1	163
P0A349	IPR036388	Winged helix-like DNA-binding domain superfamily	G3DSA:1.10.10.10	164	260
P0A349	IPR036390	Winged helix DNA-binding domain superfamily	SSF46785	171	259
P0A3A4	IPR001957	Chromosomal replication control, initiator DnaA	MF_00377	6	451
P0A3A4	IPR001957	Chromosomal replication control, initiator DnaA	PTHR30050:SF2	3	451
P0A3A4	IPR001957	Chromosomal replication control, initiator DnaA	TIGR00362	9	450
P0A3A4	IPR003593	AAA+ ATPase domain	SM00382	144	277
P0A3A4	IPR010921	Trp repressor/replication initiator	G3DSA:1.10.1750.10	359	451
P0A3A4	IPR010921	Trp repressor/replication initiator	SSF48295	358	451
P0A3A4	IPR013159	Chromosomal replication initiator, DnaA C-terminal	PF08299	361	429
P0A3A4	IPR013159	Chromosomal replication initiator, DnaA C-terminal	SM00760	360	429
P0A3A4	IPR013159	Chromosomal replication initiator, DnaA C-terminal	cd06571	361	450
P0A3A4	IPR013317	Chromosomal replication initiator protein DnaA	PF00308	112	331
P0A3A4	IPR018312	Chromosomal replication control, initiator DnaA, conserved site	PS01008	410	429
P0A3A4	IPR020591	Chromosomal replication control, initiator DnaA-like	PR00051	145	165
P0A3A4	IPR020591	Chromosomal replication control, initiator DnaA-like	PR00051	177	191
P0A3A4	IPR020591	Chromosomal replication control, initiator DnaA-like	PR00051	209	223
P0A3A4	IPR020591	Chromosomal replication control, initiator DnaA-like	PR00051	245	272
